date,algorithm,num_trades,total_energy_mwh,revenue_to_date,daily_revenue
2024-01-01,Dijkstra,8,182.29411764705884,637.24945,637.24945
2024-01-02,Dijkstra,13,338.4790588235294,8697.212869368068,8059.963419368068
2024-01-03,Dijkstra,8,193.94117647058823,9705.811514868066,1008.5986454999984
2024-01-04,Dijkstra,11,252.0,7519.653073993068,-2186.1584408749986
2024-01-05,Dijkstra,10,210.0,7452.7500367430675,-66.90303725000012
2024-01-06,Dijkstra,12,294.0,11385.940141743067,3933.1901049999997
2024-01-07,Dijkstra,15,315.0,5214.8553653680665,-6171.084776375001
2024-01-08,Dijkstra,16,334.2352941176471,15910.344869370167,10695.4895040021
2024-01-09,Dijkstra,14,313.94964705882353,22958.098524050165,7047.753654679998
2024-01-10,Dijkstra,13,301.5882352941176,22594.864760300163,-363.23376375000225
2024-01-11,Dijkstra,12,273.0,25286.39579942517,2691.531039125006
2024-01-12,Dijkstra,19,399.0,21069.602229675173,-4216.793569749996
2024-01-13,Dijkstra,18,378.0,46201.150486175175,25131.548256500002
2024-01-14,Dijkstra,13,273.0,71320.90160367516,25119.75111749998
2024-01-15,Dijkstra,11,216.70588235294116,72997.30560917515,1676.4040054999932
2024-01-16,Dijkstra,12,280.5882352941177,78369.56179305015,5372.256183874997
2024-01-17,Dijkstra,3,63.0,76886.86250517513,-1482.699287875017
2024-01-18,Dijkstra,15,336.71435294117646,76511.75577511759,-375.1067300575378
2024-01-19,Dijkstra,8,168.0,76872.6896289926,360.93385387500166
2024-01-21,Dijkstra,12,309.1764705882353,75033.47510399259,-1839.214525000003
2024-01-22,Dijkstra,11,210.0,75570.51341645373,537.0383124611399
2024-01-23,Dijkstra,13,293.11764705882354,78022.769751084,2452.256334630263
2024-01-24,Dijkstra,6,153.53788235294115,79347.65370744,1324.8839563560032
2024-01-25,Dijkstra,13,336.0,81286.18473131499,1938.5310238749953
2024-01-26,Dijkstra,12,252.0,84108.467243065,2822.2825117500033
2024-01-27,Dijkstra,11,272.832,92696.05948044,8587.592237375007
2024-01-28,Dijkstra,12,294.0,101067.86689494002,8371.807414500014
2024-01-29,Dijkstra,15,314.11764705882354,105082.54972549986,4014.6828305598465
2024-01-30,Dijkstra,12,273.0,103782.3819352499,-1300.167790249965
2024-01-31,Dijkstra,8,168.0,101543.36737999991,-2239.014555249989
2024-02-01,Dijkstra,5,133.58823529411765,105539.6316942499,3996.2643142499874
2024-02-02,Dijkstra,14,340.77317647058817,112238.69448272284,6699.062788472947
2024-02-03,Dijkstra,16,363.70588235294116,119923.91036622284,7685.215883500001
2024-02-04,Dijkstra,11,245.29411764705884,119676.72807034785,-247.1822958749981
2024-02-05,Dijkstra,7,147.0,118346.11634697286,-1330.6117233749828
2024-02-06,Dijkstra,8,188.83200000000002,117753.98927634388,-592.1270706289797
2024-02-07,Dijkstra,12,280.4202352941177,122320.19537681107,4566.206100467185
2024-02-08,Dijkstra,10,210.0,124315.60962731106,1995.4142504999909
2024-02-09,Dijkstra,12,273.0,120736.43157368607,-3579.178053624986
2024-02-10,Dijkstra,20,434.12611764705883,131832.49541613605,11096.063842449978
2024-02-11,Dijkstra,16,384.20188235294114,145897.82054877406,14065.325132638012
2024-02-12,Dijkstra,14,315.0,157247.86742239908,11350.046873625019
2024-02-13,Dijkstra,17,392.12611764705883,167703.87816358,10456.010741180915
2024-02-14,Dijkstra,13,314.832,180312.211392811,12608.333229231008
2024-02-15,Dijkstra,13,294.0,187148.442950311,6836.231557499996
2024-02-16,Dijkstra,16,334.9496470588235,190455.5941196286,3307.1511693176
2024-02-17,Dijkstra,14,300.53788235294115,194512.9229019296,4057.3287823009887
2024-02-18,Dijkstra,14,286.2437647058823,209058.3442084796,14545.421306550008
2024-02-19,Dijkstra,15,315.0,210617.84228561196,1559.4980771323608
2024-02-20,Dijkstra,10,210.0,209995.94119148696,-621.9010941250017
2024-02-21,Dijkstra,15,384.53788235294115,219198.67769585692,9202.736504369968
2024-02-22,Dijkstra,16,370.2437647058823,228628.87863058192,9430.200934724999
2024-02-23,Dijkstra,13,286.4117647058824,232987.27908236347,4358.400451781548
2024-02-24,Dijkstra,17,413.29411764705884,242217.60609486347,9230.327012499998
2024-02-25,Dijkstra,14,315.0,251049.2290989107,8831.62300404723
2024-02-26,Dijkstra,13,301.5882352941177,252387.93354016068,1338.7044412499818
2024-02-27,Dijkstra,17,420.0,260321.18722503568,7933.253684875002
2024-02-28,Dijkstra,17,412.0757647058823,268728.90964580065,8407.72242076497
2024-02-29,Dijkstra,18,419.664,284153.58842538466,15424.678779584006
2024-03-01,Dijkstra,16,392.29411764705884,299589.2287976138,15435.640372229158
2024-03-02,Dijkstra,18,412.4117647058823,301024.7860927482,1435.5572951344075
2024-03-03,Dijkstra,17,392.29411764705884,320741.5445683239,19716.758475575654
2024-03-04,Dijkstra,17,382.67576470588233,339344.63965590583,18603.095087581954
2024-03-05,Dijkstra,16,371.7698823529411,352587.0137632449,13242.37410733907
2024-03-06,Dijkstra,12,280.4202352941176,357887.7759609348,5300.76219768991
2024-03-07,Dijkstra,15,328.2437647058823,362742.4187099507,4854.642749015882
2024-03-08,Dijkstra,20,461.496,380536.0531576976,17793.63444774691
2024-03-09,Dijkstra,16,377.832,393656.64131359756,13120.588155899954
2024-03-10,Dijkstra,14,335.832,404420.06665029144,10763.42533669388
2024-03-11,Dijkstra,16,377.832,416466.5477270915,12046.48107680009
2024-03-12,Dijkstra,15,342.70588235294116,419601.04910084157,3134.5013737500412
2024-03-13,Dijkstra,17,384.70588235294116,431335.91152846033,11734.862427618762
2024-03-14,Dijkstra,18,420.0,435903.4791059603,4567.5675774999545
2024-03-15,Dijkstra,16,357.0,437437.6023619602,1534.1232559999335
2024-03-16,Dijkstra,12,251.832,438273.6400071712,836.0376452109776
2024-03-17,Dijkstra,15,356.664,453942.03232384124,15668.39231667004
2024-03-18,Dijkstra,16,336.0,457640.51233859116,3698.480014749919
2024-03-19,Dijkstra,15,350.12611764705883,465183.5111259412,7542.998787350021
2024-03-20,Dijkstra,17,421.764705882353,478394.77424285724,13211.26311691606
2024-03-21,Dijkstra,17,367.499294117647,492192.05942136,13797.285178502789
2024-03-22,Dijkstra,16,392.29411764705884,502118.62618585996,9926.566764499934
2024-03-23,Dijkstra,21,482.0202352941177,511246.25218335696,9127.625997497002
2024-03-24,Dijkstra,14,336.0,516190.53909448197,4944.286911125004
2024-03-25,Dijkstra,18,419.664,529323.2849418962,13132.745847414248
2024-03-26,Dijkstra,17,398.832,541245.4440423961,11922.159100499935
2024-03-27,Dijkstra,15,355.3058823529412,554326.582847571,13081.13880517485
2024-03-28,Dijkstra,19,446.7261176470588,569414.0084666503,15087.425619079266
2024-03-29,Dijkstra,16,363.53788235294115,583067.3926208004,13653.384154150146
2024-03-30,Dijkstra,17,350.1261176470588,584641.5006994915,1574.1080786910607
2024-03-31,Dijkstra,13,314.832,588227.6395159914,3586.138816499966
2024-04-01,Dijkstra,19,426.36988235294115,598298.2628138985,10070.623297907063
2024-04-02,Dijkstra,17,398.664,617393.8397062747,19095.57689237618
2024-04-03,Dijkstra,17,405.53788235294115,632513.7392701562,15119.899563881569
2024-04-04,Dijkstra,15,356.832,645712.2355954811,13198.496325324872
2024-04-05,Dijkstra,20,461.496,657723.37556998,12011.139974498888
2024-04-06,Dijkstra,18,419.664,675915.364251923,18191.98868194304
2024-04-07,Dijkstra,16,377.664,694443.3845433373,18528.02029141423
2024-04-08,Dijkstra,20,440.832,706722.8043657623,12279.419822425
2024-04-09,Dijkstra,17,399.0,719160.2335553875,12437.429189625196
2024-04-10,Dijkstra,18,419.496,732218.0238619683,13057.790306580835
2024-04-11,Dijkstra,15,336.0,737905.9092663432,5687.885404374916
2024-04-12,Dijkstra,14,336.0,745270.5728430933,7364.663576750085
2024-04-13,Dijkstra,15,342.53788235294115,755229.5765771181,9959.003734024824
2024-04-14,Dijkstra,17,391.95811764705877,765576.8844338312,10347.307856713072
2024-04-15,Dijkstra,16,398.496,779256.5942500553,13679.709816224058
2024-04-16,Dijkstra,15,356.832,792934.6237285552,13678.029478499899
2024-04-17,Dijkstra,17,419.832,801944.1553959218,9009.531667366624
2024-04-18,Dijkstra,18,420.0,806745.3421022968,4801.186706374981
2024-04-19,Dijkstra,18,440.664,814712.9533384898,7967.6112361929845
2024-04-20,Dijkstra,18,419.832,822364.181375665,7651.228037175257
2024-04-21,Dijkstra,18,419.496,835226.9191205719,12862.737744906917
2024-04-22,Dijkstra,17,378.0,839892.7084454469,4665.78932487499
2024-04-23,Dijkstra,16,390.432,845689.1046700218,5796.396224574884
2024-04-24,Dijkstra,16,390.432,852252.5879636849,6563.483293663128
2024-04-25,Dijkstra,17,411.43199999999996,860808.5741101598,8555.98614647484
2024-04-26,Dijkstra,15,344.23199999999997,862404.6549698914,1596.08085973165
2024-04-27,Dijkstra,19,444.864,875242.9299046515,12838.274934760062
2024-04-28,Dijkstra,16,376.1378823529412,889796.1071786014,14553.177273949957
2024-04-29,Dijkstra,16,350.7698823529411,897285.0571282216,7488.949949620175
2024-04-30,Dijkstra,14,349.2437647058823,907763.6721915998,10478.615063378238
2024-05-01,Dijkstra,19,452.7882352941176,915698.8390851471,7935.166893547284
2024-05-02,Dijkstra,16,390.432,923025.908283747,7327.0691985999
2024-05-03,Dijkstra,16,385.89599999999996,933143.8756789338,10117.967395186774
2024-05-04,Dijkstra,14,336.0,937167.5053684339,4023.629689500085
2024-05-05,Dijkstra,15,342.53788235294115,948195.5638850338,11028.058516599936
2024-05-06,Dijkstra,19,439.3058823529412,957659.2256537454,9463.661768711521
2024-05-07,Dijkstra,20,482.02023529411764,968817.333980815,11158.108327069669
2024-05-08,Dijkstra,21,440.664,981024.972474741,12207.638493926032
2024-05-09,Dijkstra,13,300.53788235294115,984770.7206531662,3745.7481784251286
2024-05-10,Dijkstra,18,406.5882352941177,990838.675484916,6067.954831749783
2024-05-11,Dijkstra,15,342.53788235294115,1000535.133943282,9696.458458365989
2024-05-12,Dijkstra,13,335.664,1013614.4845516408,13079.350608358858
2024-05-13,Dijkstra,16,357.0,1013952.5972610157,338.1127093748655
2024-05-14,Dijkstra,13,273.0,1017020.3560352658,3067.7587742501637
2024-05-15,Dijkstra,15,336.0,1017919.086167766,898.7301325001754
2024-05-16,Dijkstra,16,363.53788235294115,1024478.658517966,6559.572350200033
2024-05-17,Dijkstra,17,404.5581176470588,1031323.8066579814,6845.148140015313
2024-05-18,Dijkstra,18,384.36988235294115,1040844.3656750091,9520.559017027728
